backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_heron,26,surface,mwpm,3,7,100000,real_heron_0.25_1,,0.009990,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_0.25_1,,0.015200,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_0.25_1,,0.026910,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_0.5_1,,0.010690,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_0.25_1,,0.040790,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_0.25_1,,0.006420,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_0.25_1,,0.041390,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_0.5_1,,0.016700,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1.0_1,,0.013680,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_0.5_1,,0.027880,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_0.25_1,,0.011740,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_1.0_1,,0.019870,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_0.5_1,,0.042720,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_0.5_1,,0.006920,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_2.0_1,,0.021290,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_0.5_1,,0.043380,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_0.25_1,,0.005170,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_0.25_1,,0.013460,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_1.0_1,,0.032550,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_2.0_1,,0.027110,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_4.0_1,,0.043470,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_1.0_1,,0.046670,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_0.25_1,,0.017330,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1.0_1,,0.008710,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.25,,0.013450,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_0.5_1,,0.012910,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_1.0_1,,0.047310,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_2.0_1,,0.042480,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_4.0_1,,0.051250,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.5,,0.013420,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,35,100000,real_heron_0.25_1,,0.021530,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,14,100000,real_heron_0.25_1,,0.007280,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_1_0.25,,0.019100,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_2.0_1,,0.057010,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.75,,0.013160,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_2.0_1,,0.013950,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_0.5_1,,0.005950,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_0.5_1,,0.014260,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_4.0_1,,0.066570,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1.0,,0.013510,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_2.0_1,,0.058160,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_1_0.5,,0.019390,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_1.0_1,,0.015320,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1.5,,0.013420,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_1_0.75,,0.019780,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_1_0.25,,0.031830,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,100000,real_heron_0.25_1,,0.009660,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_4.0_1,,0.083190,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_2.0,,0.014070,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_4.0_1,,0.035370,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_0.5_1,,0.019200,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_1_1.0,,0.019550,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_1_0.5,,0.031480,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_4.0_1,,0.085310,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_1_0.25,,0.046260,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_1_1.5,,0.020120,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1.0_1,,0.007990,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.25,,0.008160,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_1.0_1,,0.017410,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,35,100000,real_heron_0.5_1,,0.022720,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_2.0_1,,0.021250,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_1_0.75,,0.032330,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,14,100000,real_heron_1_2.0,,0.020360,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_1_0.25,,0.047070,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_1_0.5,,0.046380,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,14,100000,real_heron_0.5_1,,0.008070,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.5,,0.008020,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,28,100000,real_heron_0.25_1,,0.014690,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_1_1.0,,0.032570,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_1_0.75,,0.045870,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_1_1.5,,0.032650,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_1_0.5,,0.047640,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_1.0_1,,0.022210,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.75,,0.008290,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,35,100000,real_heron_0.25_1,,0.014020,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_2.0_1,,0.013840,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,21,100000,real_heron_1_2.0,,0.032780,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_1_1.0,,0.046950,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_4.0_1,,0.045540,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_1_0.75,,0.048140,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_2.0_1,,0.024470,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1.0,,0.008750,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_1_1.5,,0.048200,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,35,100000,real_heron_1.0_1,,0.027530,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,100000,real_heron_0.5_1,,0.010740,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1.5,,0.008880,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_1_1.0,,0.047890,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_1_0.25,,0.014870,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,28,100000,real_heron_1_2.0,,0.048230,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,14,100000,real_heron_1.0_1,,0.010100,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_2.0,,0.008890,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_1_1.5,,0.048540,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_2.0_1,,0.031640,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_4.0_1,,0.038900,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_1_0.5,,0.014390,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,35,100000,real_heron_1_2.0,,0.049270,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_4.0_1,,0.049320,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_1_0.75,,0.014380,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,28,100000,real_heron_0.5_1,,0.016430,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.25,,0.007320,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,35,100000,real_heron_2.0_1,,0.036470,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_1_0.25,,0.016400,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,100000,real_heron_1.0_1,,0.013070,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_1_1.0,,0.015320,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,14,100000,real_heron_2.0_1,,0.016690,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,35,100000,real_heron_0.5_1,,0.015690,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.5,,0.007280,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_4.0_1,,0.060060,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_1_1.5,,0.015760,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_1_0.5,,0.016820,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.75,,0.007410,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,14,100000,real_heron_1_2.0,,0.016050,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_1_0.25,,0.022470,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_1_0.75,,0.017470,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,35,100000,real_heron_4.0_1,,0.064880,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1.0,,0.008050,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,28,100000,real_heron_1.0_1,,0.019750,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_1_1.0,,0.017360,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,100000,real_heron_2.0_1,,0.018900,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_1_0.5,,0.022180,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,14,100000,real_heron_4.0_1,,0.041870,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1.5,,0.007980,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,35,100000,real_heron_1_0.25,,0.026300,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_1_1.5,,0.017820,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,35,100000,real_heron_1.0_1,,0.019090,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,28,100000,real_heron_1_0.75,,0.022850,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_2.0,,0.008370,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,14,100000,real_heron_1_0.25,,0.009440,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,21,100000,real_heron_1_2.0,,0.017940,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,35,100000,real_heron_1_0.5,,0.026220,N/A,N/A,N/A
